src_ip_asn_org,0,1,2,3,4,5,6,7
AS-CHOOPA,24,0,0,0,0,877,0,0
COMCAST-7922,14,0,0,0,0,306,0,0
LoadEdge Limited,0,0,0,0,0,285,0,0
Mobile Telecommunication Company Saudi Arabia Joint-Stock company,0,0,0,0,0,356,0,0
NETLAB-SDN,0,0,0,0,0,361,0,0
OVH SAS,149,27,43,21,0,129,0,0
Other,576,3899,98,103,10,13732,3,2
Saudi Telecom Company JSC,0,0,0,0,0,871,0,0
UCLOUD INFORMATION TECHNOLOGY HK LIMITED,2,0,1,0,0,203,0,0
Unknown,11681,1289,8073,13199,17887,6112,13768,16975
VERO S.A,0,297,0,0,0,279,0,0
