src_ip_country,0,1,2,3,4,5,6,7
AU,218,181,141,86,0,939,0,21
BG,28,188,65,184,2,297,0,2
BR,92,3957,10,42,4,7926,11,17
CN,50,176,296,114,1,1841,4,33
DE,116,11,16,11,0,643,0,0
FR,63,14,21,16,0,1473,0,0
GB,48,13,29,17,2,860,0,0
Other,1352,537,298,361,7,3507,24,37
SA,16,1,3,3,0,1455,0,0
US,795,165,50,7901,3,3059,9,46
Unknown,9668,269,7286,4588,17878,1511,13723,16821
